EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10043730,CUMBERLAND CO.,,05/20/1963,1526,Thunderstorm Wind,58,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,05/20/1963,1526,43.7,-70.28,,,,,64
10043731,CUMBERLAND CO.,,05/20/1963,1600,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,05/20/1963,1600,43.88,-70.28,,,,,65
10043732,AROOSTOOK CO.,,06/30/1963,1426,Thunderstorm Wind,53,,0,0,0,0,ME,CST,,,C,3,,0,0,,,0,0,0,,0,,,06/30/1963,1426,46.88,-68,,,,,66
10043733,SOMERSET CO.,,07/01/1963,1410,Tornado,0,,0,0,2500,0,ME,CST,,,C,25,,0,0,,,1,100,0,,0,,,07/01/1963,1410,45,-69.9,,,,,67
10043734,SOMERSET CO.,,07/01/1963,1410,Hail,0.75,,0,0,0,0,ME,CST,,,C,25,,0,0,,,0,0,0,,0,,,07/01/1963,1410,45,-69.9,,,,,68
10043735,SOMERSET CO.,,07/01/1963,1445,Tornado,0,,0,0,0,0,ME,CST,,,C,25,,0,0,,,0.1,50,0,,0,,,07/01/1963,1445,45.2,-69.6,,,,,69
10043736,KENNEBEC CO.,,07/01/1963,1510,Tornado,0,,0,0,2500,0,ME,CST,,,C,11,,0,0,,,2,20,0,,0,,,07/01/1963,1510,44.6,-69.6,,,,,70
10043737,AROOSTOOK CO.,,07/02/1963,1621,Thunderstorm Wind,50,,0,0,0,0,ME,CST,,,C,3,,0,0,,,0,0,0,,0,,,07/02/1963,1621,46.88,-68,,,,,71
10043738,AROOSTOOK CO.,,07/03/1963,1900,Thunderstorm Wind,53,,0,0,0,0,ME,CST,,,C,3,,0,0,,,0,0,0,,0,,,07/03/1963,1900,46.88,-68,,,,,72
10043739,SOMERSET CO.,,07/15/1963,1700,Tornado,0,F0,0,0,250,0,ME,CST,,,C,25,,0,0,,,17.1,17,0,,0,,,07/15/1963,1700,44.75,-69.4,45,-69.37,,,73
10043740,FRANKLIN CO.,,07/29/1963,1315,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,7,,0,0,,,0,0,0,,0,,,07/29/1963,1315,44.7,-70.18,,,,,74
10043741,KENNEBEC CO.,,08/31/1963,1300,Hail,0.75,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,08/31/1963,1300,44.28,-69.78,,,,,75
10043742,CO.,,10/29/1963,1500,Thunderstorm Wind,86,,0,0,0,0,ME,CST,,,C,0,,0,0,,,0,0,0,,0,,,10/29/1963,1500,43.28,-69.9,,,,,76
10043743,LINCOLN CO.,,10/29/1963,1600,Tornado,0,F1,0,0,250000,0,ME,CST,,,C,15,,0,0,,,0,33,0,,0,,,10/29/1963,1600,44.1,-69.8,,,,,77
10043744,PISCATAQUIS CO.,,05/23/1964,2000,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,21,,0,0,,,0,0,0,,0,,,05/23/1964,2000,46.08,-68.9,,,,,78
10043745,CUMBERLAND CO.,,07/01/1964,1800,Hail,1.5,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,07/01/1964,1800,43.7,-70.58,,,,,79
10043746,CUMBERLAND CO.,,07/22/1964,1600,Hail,1.75,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,07/22/1964,1600,43.88,-70.5,,,,,80
10043747,CO.,,08/08/1964,1400,Hail,0.75,,0,0,0,0,ME,CST,,,C,0,,0,0,,,0,0,0,,0,,,08/08/1964,1400,45,-70.78,,,,,81
10043748,SOMERSET CO.,,06/07/1965,1600,Hail,0.75,,0,0,0,0,ME,CST,,,C,25,,0,0,,,0,0,0,,0,,,06/07/1965,1600,44.78,-70.08,,,,,82
10043749,PENOBSCOT CO.,,06/10/1965,1515,Thunderstorm Wind,79,,0,0,0,0,ME,CST,,,C,19,,0,0,,,0,0,0,,0,,,06/10/1965,1515,44.78,-68.78,,,,,83
10043750,CO.,,06/10/1965,1530,Hail,0.75,,0,0,0,0,ME,CST,,,C,0,,0,0,,,0,0,0,,0,,,06/10/1965,1530,45.2,-67.18,,,,,84
10043751,WASHINGTON CO.,,06/10/1965,1550,Tornado,0,F1,0,3,250000,0,ME,CST,,,C,29,,0,0,,,1,50,0,,0,,,06/10/1965,1550,44.75,-68.02,,,,,85
10043752,OXFORD CO.,,06/21/1965,1600,Tornado,0,,0,0,2500,0,ME,CST,,,C,17,,0,0,,,1.5,33,0,,0,,,06/21/1965,1600,44.5,-70.4,,,,,86
10043753,KENNEBEC CO.,,08/10/1965,1732,Hail,1,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,08/10/1965,1732,44.28,-69.78,,,,,87
10043754,KENNEBEC CO.,,08/10/1965,1732,Thunderstorm Wind,55,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,08/10/1965,1732,44.28,-69.78,,,,,88
10043755,SOMERSET CO.,,08/16/1965,1330,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,25,,0,0,,,0,0,0,,0,,,08/16/1965,1330,45.08,-69.9,,,,,89
10043756,AROOSTOOK CO.,,09/21/1965,1330,Tornado,0,F1,0,0,2500,0,ME,CST,,,C,3,,0,0,,,0.1,33,0,,0,,,09/21/1965,1330,46.92,-67.82,,,,,90
10043757,PISCATAQUIS CO.,,05/29/1966,1400,Hail,1.5,,0,0,0,0,ME,CST,,,C,21,,0,0,,,0,0,0,,0,,,05/29/1966,1400,45.5,-69.58,,,,,91
10043758,KENNEBEC CO.,,06/29/1966,1840,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,11,,0,0,,,0,0,0,,0,,,06/29/1966,1840,44.28,-70,,,,,92
10043759,KENNEBEC CO.,,07/13/1966,1620,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,11,,0,0,,,0.3,33,0,,0,,,07/13/1966,1620,44.4,-70.03,,,,,93
10043760,PENOBSCOT CO.,,07/16/1966,1500,Hail,0.75,,0,0,0,0,ME,CST,,,C,19,,0,0,,,0,0,0,,0,,,07/16/1966,1500,45,-68.68,,,,,94
10043761,AROOSTOOK CO.,,09/06/1966,1500,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,3,,0,0,,,0,0,0,,0,,,09/06/1966,1500,46.88,-68,,,,,95
10043762,YORK CO.,,10/10/1966,1508,Tornado,0,F2,0,0,25000,0,ME,CST,,,C,31,,0,0,,,0.2,50,0,,0,,,10/10/1966,1508,43.43,-70.78,,,,,96
